"sex","Order","edu","ethnic","politicalid_6","country_mig","major","age","Mn_RT_all_3467","PCT_error_3467","D_biep.Male_Career_all","assocareer","assofamily","impcareer","impfamily","havechildren","numboys","numgirls","planchildren"
"f",1,7,5,5,FALSE,11,29,649.116666666667,7.5,0.263989464389682,3,2,4,4,"no",NA,NA,"1"
"f",1,9,5,5,FALSE,2,30,773.85,2.5,0.614822471007455,4,2,1,5,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,5,23,702.25,5.83333333333333,0.475971725205859,3,1,4,5,"no",NA,NA,"3"
"f",1,7,5,3,FALSE,8,21,1118.975,9.16666666666667,0.297163400319856,4,2,4,5,"no",NA,NA,"3"
"m",2,7,5,6,FALSE,8,21,768.858333333333,7.5,0.0944655904706288,3,2,5,5,"no",NA,NA,"1"
"f",1,9,4,NA,TRUE,3,22,1325.89166666667,0.833333333333333,-1.30780223784636,3,2,4,4,"no",NA,NA,"3"
"m",1,7,6,3,TRUE,9,24,883.641666666667,6.66666666666667,0.225417631720511,3,3,3,5,"no",NA,NA,"3"
"f",2,14,2,6,TRUE,2,28,876.116666666667,8.33333333333333,0.601452607896822,5,1,1,3,"no",NA,NA,"2"
"f",2,14,5,5,TRUE,2,33,628.725,5.83333333333333,0.601248649425735,3,3,4,5,"no",NA,NA,"3"
"m",2,7,2,5,TRUE,4,32,930.941666666667,0,-0.28124023436056,4,2,3,5,"no",NA,NA,"3"
"m",2,7,5,1,FALSE,4,21,1164.43333333333,2.5,0.351882709097816,4,2,4,4,"no",NA,NA,"3"
"f",2,12,5,6,TRUE,9,35,1032.5,7.5,1.21804645239657,3,2,3,3,"no",NA,NA,"1"
"f",2,9,5,3,FALSE,4,37,667.241666666667,4.16666666666667,0.22724354019122,3,2,5,5,"no",NA,NA,"3"
"f",1,14,5,5,TRUE,2,31,889.391666666667,1.66666666666667,0.268404448733455,4,1,4,5,"no",NA,NA,"3"
"m",2,7,5,4,TRUE,6,33,789.958333333333,0,0.943543440218093,3,3,4,5,"no",NA,NA,"3"
"f",2,14,5,NA,TRUE,2,31,713.208333333333,0.833333333333333,0.371071827171169,4,2,4,4,"no",NA,NA,"3"
"f",2,5,5,6,FALSE,8,18,654.125,9.16666666666667,0.204738284450347,3,2,5,4,"no",NA,NA,"3"
"f",2,14,5,3,TRUE,2,28,1232.65833333333,5,0.309605992363511,3,1,5,5,"no",NA,NA,"3"
"m",2,7,5,4,FALSE,10,18,691.475,10,0.32383423831596,3,1,4,4,"no",NA,NA,"3"
"m",2,5,5,4,FALSE,11,20,745.75,6.66666666666667,0.369534137867825,4,2,5,5,"no",NA,NA,"3"
"f",2,14,5,3,TRUE,1,28,688.633333333333,7.5,0.732260766617301,4,1,4,4,"no",NA,NA,"1"
"f",2,7,5,3,FALSE,11,25,963.75,0.833333333333333,0.263966827874686,4,2,5,5,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,10,55,969.566666666667,5.83333333333333,0.862597216403424,4,1,3,5,"yes",NA,NA,"."
"m",1,14,6,4,TRUE,2,31,740.533333333333,3.33333333333333,0.324705688103135,3,3,5,5,"no",NA,NA,"3"
"f",2,5,5,3,FALSE,5,18,651.066666666667,6.66666666666667,0.321743658475657,2,2,4,4,"no",NA,NA,"3"
"m",2,12,5,4,FALSE,1,36,970.975,9.16666666666667,0.30436640808581,4,2,3,4,"no",NA,NA,"2"
"m",2,5,5,3,FALSE,2,56,849.6,2.5,0.584392353199644,3,2,2,3,"no",NA,NA,"2"
"f",1,4,3,4,FALSE,2,18,669.7,8.33333333333333,0.670557365593751,2,1,3,5,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,10,41,1110.75,4.16666666666667,0.437252157573787,3,2,5,5,"yes",NA,NA,"."
"m",2,9,8,5,FALSE,2,30,695.408333333333,5.83333333333333,0.227516110716312,3,3,3,3,"no",NA,NA,"3"
"f",1,14,5,4,TRUE,2,27,851.575,6.66666666666667,0.727704314682162,4,2,5,5,"no",NA,NA,"1"
"f",2,6,5,3,FALSE,NA,34,676.791666666667,6.66666666666667,1.03178193642749,4,2,5,5,"no",NA,NA,"3"
"m",2,7,5,5,FALSE,8,33,661.791666666667,2.5,-0.12740761380882,4,2,5,5,"yes",NA,NA,"."
"f",1,5,5,6,FALSE,11,19,627.116666666667,10,0.388998271382242,3,2,5,5,"no",NA,NA,"3"
"f",1,4,5,5,TRUE,13,59,862.616666666667,8.33333333333333,0.359268231982008,2,1,3,5,"yes",NA,NA,"."
"f",2,6,5,NA,FALSE,10,30,736.625,9.16666666666667,0.671141980305101,3,1,3,3,"no",NA,NA,"1"
"f",1,7,6,4,TRUE,9,34,943.908333333333,3.33333333333333,0.361875892042086,4,4,4,4," ",NA,NA,"3"
"m",2,9,5,4,FALSE,10,29,988.625,9.16666666666667,0.897549528856972,4,2,4,4,"no",NA,NA,"3"
"f",1,9,5,5,FALSE,13,47,800.733333333333,4.16666666666667,-0.219273939140342,3,3,4,4,"no",NA,NA,"2"
"f",1,9,3,5,TRUE,9,21,768.091666666667,10,0.484101409246657,4,2,5,5,"no",NA,NA,"3"
"m",2,7,5,3,TRUE,8,20,655.583333333333,3.33333333333333,0.704020783632509,3,3,4,5,"no",NA,NA,"3"
"f",1,13,5,4,FALSE,2,28,767.291666666667,5,0.518691328606729,4,2,4,3,"no",NA,NA,"1"
"f",2,7,8,4,FALSE,8,20,686.658333333333,7.5,0.559691351512563,3,3,5,3," ",NA,NA,"."
"f",1,5,5,1,TRUE,NA,33,1352.1,4.16666666666667,-0.575747546852844,5,1,5,5,"yes",NA,NA,"."
"f",1,9,2,4,TRUE,10,33,800.025,2.5,0.569792938733139,5,5,4,5,"no",NA,NA,"3"
"m",2,7,5,3,FALSE,2,31,785.675,2.5,0.542037244884352,5,1,5,3,"no",NA,NA,"3"
"f",2,5,5,5,TRUE,11,20,1017.4,4.16666666666667,0.881357765377905,4,1,4,4,"no",NA,NA,"2"
"f",2,7,5,3,FALSE,10,21,783.675,3.33333333333333,0.67975726246496,4,2,4,5,"no",NA,NA,"3"
"m",2,5,5,2,FALSE,6,31,647.141666666667,3.33333333333333,0.811694899487573,5,2,3,3,"no",NA,NA,"3"
"m",1,7,5,4,FALSE,11,57,1039.625,3.33333333333333,0.593723759818387,4,2,4,5,"yes",NA,NA,"."
"m",2,8,5,4,FALSE,8,45,820.116666666667,0,1.0701823039193,4,3,3,4,"yes",NA,NA,"."
"m",1,4,6,6,FALSE,NA,38,770.133333333333,3.33333333333333,0.232435045177313,3,2,5,5,"yes",NA,NA,"."
"m",1,9,5,5,FALSE,4,28,1123.86666666667,8.33333333333333,0.693137498803785,4,2,4,2,"no",NA,NA,"2"
"f",1,7,4,3,TRUE,8,37,793.166666666667,5.83333333333333,0.177918195619421,3,3,4,5,"yes",NA,NA,"."
"m",2,9,5,5,FALSE,2,37,646.7,2.5,0.403317774117669,4,2,4,3,"no",NA,NA,"3"
"m",1,6,3,5,TRUE,8,37,1118.56666666667,0,0.0166381275802185,4,3,5,4,"no",NA,NA,"1"
"m",1,12,5,3,FALSE,10,42,673.875,9.16666666666667,0.498958419139612,5,2,2,1,"no",NA,NA,"2"
"f",1,7,6,3,FALSE,2,36,915.925,5.83333333333333,0.378675245302597,5,1,3,4,"yes",NA,NA,"."
"f",1,5,5,NA,TRUE,10,34,930.966666666667,1.66666666666667,-0.287912588731666,3,3,3,5,"yes",NA,NA,"3"
"m",2,7,5,3,FALSE,2,39,835.391666666667,1.66666666666667,0.881706773084082,4,3,3,5,"yes",NA,NA,"."
"m",1,7,3,4,FALSE,5,52,799.491666666667,5,0.809887041868562,4,1,5,4,"no",NA,NA,"1"
"f",2,5,5,3,FALSE,2,40,602.45,6.66666666666667,-0.00536985943731839,3,2,2,5,"yes",NA,NA,"."
"f",2,3,5,5,FALSE,NA,37,988.675,4.16666666666667,0.143034773366164,3,1,3,5,"no",NA,NA,"2"
"m",1,6,5,3,FALSE,NA,50,917.041666666667,1.66666666666667,-0.224320602544028,4,2,4,5,"yes",NA,NA,"."
"f",2,5,5,3,FALSE,7,31,702.858333333333,8.33333333333333,0.91265839698527,3,2,2,5,"yes",NA,NA,"."
"f",2,7,5,5,FALSE,8,26,762.608333333333,0.833333333333333,0.0322658520340513,4,2,4,4,"no",NA,NA,"3"
"f",1,7,5,3,FALSE,10,37,1040.18333333333,8.33333333333333,0.36617420550524,4,3,3,3,"no",NA,NA,"1"
"m",2,7,5,5,FALSE,11,51,1343.35,5,0.589148782007101,4,2,4,3,"no",NA,NA,"2"
"f",2,12,5,5,FALSE,1,33,807.983333333333,1.66666666666667,0.572340157540119,3,2,5,3,"no",NA,NA,"1"
